Year_Birth;Education;Marital_Status;Estimated_Income;Kid_home;Teen_home;Registration_date;Recency;Exist_Complain;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumWebPurchases;NumCatalogPurchases;NumStorePurchases
1971;Graduation;Together;16626;2;0;15.01.2022;76;0;8;3;22;21;1;13;3;0;3
1965;Graduation;Together;29672;1;1;12.03.2021;6;0;9;1;3;0;4;8;0;0;3
1952;Master;Together;55951;0;1;23.08.2020;62;0;1241;0;80;0;13;40;3;6;11
1988;2n Cycle;Divorced;35388;1;0;07.03.2021;20;0;6;4;7;4;3;8;1;0;3
1986;Master;Together;42386;1;0;13.01.2021;43;0;65;4;16;0;4;11;3;0;3
1982;Graduation;Single;68627;0;0;12.01.2021;45;0;395;15;263;60;54;38;2;3;6
1965;PhD;Divorced;57912;0;1;17.03.2022;34;0;801;0;80;0;0;35;8;3;12
1958;Graduation;Divorced;35246;1;1;16.04.2022;53;0;36;0;12;2;2;10;3;1;3
1956;2n Cycle;Together;58821;0;1;12.10.2021;44;0;513;14;154;19;0;28;9;2;9
1978;PhD;Married;46377;1;0;01.03.2022;89;0;37;0;46;4;3;0;2;1;3
1988;Graduation;Single;39747;1;0;13.04.2022;43;0;80;15;93;20;13;52;5;1;4
1984;Graduation;Together;23976;1;0;27.12.2021;68;0;14;1;21;2;3;25;3;1;3
1961;Master;Married;80950;0;0;28.03.2021;44;0;525;147;112;219;147;63;6;7;9
1966;Graduation;Widow;27038;0;0;18.09.2020;64;0;1;26;25;17;23;15;3;0;3
1947;Graduation;Single;77457;0;0;05.03.2022;85;0;675;11;400;15;45;11;2;5;10
1964;Master;Married;64100;0;1;10.09.2021;93;0;509;0;27;0;0;10;8;3;6
1992;Master;Together;42670;0;0;27.04.2021;12;0;154;2;46;20;4;15;4;2;4
1976;Graduation;Divorced;12571;1;0;18.01.2022;86;0;3;5;14;2;12;17;3;1;3
1967;Graduation;Married;22574;2;1;28.10.2021;28;0;25;0;8;2;0;2;2;0;3
1989;Graduation;Married;;0;0;03.06.2021;69;0;861;138;461;60;30;61;6;5;12
1976;Master;Single;70893;0;0;06.02.2021;42;0;768;44;561;77;44;14;6;6;10
1966;Graduation;Married;54198;1;1;17.12.2021;13;0;185;0;28;3;2;17;3;1;6
1956;Master;Together;28839;1;1;11.03.2022;86;0;24;0;7;0;0;1;2;0;3
1972;Graduation;Married;40321;1;1;29.07.2021;59;0;44;4;21;6;0;27;3;0;3
1985;Graduation;Single;66503;1;0;14.08.2020;30;0;91;64;128;65;3;50;4;3;6
1951;Graduation;Married;30833;1;1;16.07.2021;33;0;11;0;7;3;1;6;1;0;3
1970;Graduation;Single;;1;2;23.08.2021;67;0;738;20;172;52;50;20;2;3;10
1971;Graduation;Married;64795;0;1;17.01.2021;23;0;412;5;119;38;29;77;3;3;12
1974;Graduation;Married;34421;1;0;01.07.2021;81;0;3;3;7;6;2;9;1;0;2
1965;PhD;Divorced;47025;1;1;09.02.2022;6;0;16;0;3;0;0;1;1;0;2
1961;PhD;Divorced;64325;0;1;07.02.2021;41;0;731;60;353;78;12;73;10;3;5
1953;Graduation;Single;40464;0;1;11.01.2021;78;0;424;17;118;7;23;41;8;2;8
1957;Graduation;Married;62187;0;0;05.07.2021;49;0;792;0;275;45;45;126;4;8;5
1976;PhD;Divorced;14849;1;0;02.07.2021;39;0;21;2;28;3;2;9;2;0;4
1984;Graduation;Married;27255;1;0;07.11.2021;3;0;22;1;11;0;1;2;1;0;3
1950;PhD;Married;54432;2;1;09.05.2021;37;0;33;0;5;0;0;0;1;0;3
1986;PhD;Single;29999;1;0;13.02.2021;22;0;68;7;59;10;5;11;3;1;4
1983;Graduation;Single;24072;1;0;16.04.2021;79;0;9;1;6;3;0;4;1;0;2
1989;PhD;Single;33996;0;0;11.09.2021;46;0;40;2;15;8;0;6;1;1;3
1956;PhD;Married;66334;0;1;03.04.2021;82;0;909;11;218;0;0;23;9;3;5
1971;Master;Married;35178;1;0;10.01.2021;10;0;23;1;13;2;2;18;1;1;2
1983;Graduation;Together;22010;1;0;30.06.2021;51;0;11;2;9;3;0;8;2;0;3
1960;Graduation;Divorced;62204;0;2;12.09.2020;38;0;317;46;247;151;46;139;4;5;12
1968;Graduation;Divorced;75693;0;0;06.12.2020;10;0;797;153;293;72;97;30;11;4;6
1972;Graduation;Married;30675;1;0;12.11.2020;14;0;10;2;16;11;2;21;1;0;3
1965;Graduation;Together;83003;0;0;03.03.2021;18;0;856;61;570;40;25;122;7;6;8
1899;PhD;Together;83532;0;0;26.09.2021;36;0;755;144;562;104;64;224;4;6;4
1988;Graduation;Single;68655;0;0;10.08.2020;95;0;456;19;832;75;118;38;4;5;11
1986;Graduation;Divorced;41411;0;0;07.12.2021;11;0;37;32;38;11;3;18;2;1;4
1969;PhD;Married;55212;0;1;23.11.2020;65;0;1103;0;45;0;0;34;4;2;11
1950;PhD;Together;59292;0;1;13.06.2021;71;0;378;14;68;19;14;14;3;5;8
1973;Basic;Together;27190;1;0;15.08.2021;13;0;1;6;7;0;1;3;1;0;2
1952;Graduation;Divorced;82623;0;0;10.11.2021;58;0;204;34;204;172;153;173;2;9;4
1965;Graduation;Married;44300;1;1;23.06.2021;65;0;30;0;9;0;0;3;1;0;3
1970;Graduation;Divorced;84835;0;0;16.06.2022;0;0;189;104;379;111;189;218;4;4;6
1971;Graduation;Widow;30372;1;1;25.12.2020;33;0;15;0;12;7;3;7;2;0;3
1976;Master;Married;33181;1;0;03.01.2022;90;0;9;0;3;0;0;4;1;0;2
1957;Graduation;Married;71113;0;1;17.12.2021;95;0;495;33;255;11;33;8;6;7;9
1986;Graduation;Married;71952;1;0;10.01.2021;93;0;656;80;455;52;107;93;8;4;8
1966;PhD;Single;69759;0;0;28.10.2021;38;0;452;20;514;13;30;0;4;6;5
1974;Graduation;Married;72099;0;0;27.10.2020;18;0;546;91;410;119;0;22;3;4;10
1976;PhD;Single;60000;0;1;22.12.2020;57;0;1048;0;217;0;0;12;11;3;5
1978;Graduation;Single;38643;1;1;29.11.2021;45;1;22;2;14;0;1;10;2;0;3
1955;Graduation;Married;50737;0;1;11.05.2021;61;0;78;0;11;0;0;10;2;0;4
1969;PhD;Married;68462;0;0;12.12.2020;6;0;561;64;785;84;128;48;3;3;8
1943;Master;Married;65073;0;0;20.08.2021;65;1;629;17;177;69;0;8;5;3;5
1948;PhD;Together;46681;0;2;08.10.2021;52;0;269;15;69;15;19;38;4;6;4
1957;Graduation;Married;78618;0;0;28.09.2020;87;0;736;163;818;212;163;61;4;7;10
1969;PhD;Widow;62187;0;1;22.03.2022;38;0;512;0;83;0;0;41;6;2;10
1978;Graduation;Married;28442;2;0;24.02.2022;53;0;19;3;10;11;8;6;2;1;4
1978;PhD;Married;37717;1;0;23.11.2020;31;0;9;0;6;4;1;5;1;0;2
1967;Graduation;Married;51479;1;1;28.12.2020;67;0;247;8;160;6;8;65;6;3;6
1969;Graduation;Single;54803;0;1;21.08.2020;65;0;404;0;92;28;27;142;6;2;9
1960;Graduation;Married;79530;0;0;17.05.2021;64;0;333;0;815;129;42;29;4;10;11
1976;Graduation;Divorced;31615;1;0;16.03.2021;82;0;2;3;20;6;11;9;2;0;3
1962;Graduation;Together;72025;0;0;17.11.2020;27;0;833;33;549;151;133;233;4;3;8
1975;PhD;Single;52614;0;1;01.12.2020;63;0;789;0;142;12;9;38;2;4;8
1984;2n Cycle;Married;35684;1;0;22.04.2022;66;0;10;4;7;0;6;3;1;0;3
1975;Graduation;Married;48178;1;1;28.10.2020;69;0;159;4;45;6;2;38;5;1;4
1970;Master;Single;29548;1;0;29.08.2021;52;0;7;1;6;3;1;11;1;1;2
1966;Graduation;Single;63810;0;1;11.11.2020;45;0;977;12;253;16;12;101;4;3;12
1972;PhD;Single;38578;1;1;22.06.2021;2;0;38;4;22;3;3;3;3;0;3
1975;Master;Single;46098;1;1;18.08.2020;86;0;57;0;27;0;0;36;3;2;2
1970;Graduation;Single;22585;0;0;18.03.2021;23;0;3;9;15;13;2;39;1;1;2
1989;Graduation;Single;30279;1;0;30.12.2020;13;0;10;4;14;4;4;1;1;0;3
1961;PhD;Together;66426;0;1;02.10.2021;14;0;1043;24;97;32;24;157;3;5;10
1969;Graduation;Single;30822;1;0;14.06.2021;92;0;3;9;13;2;12;12;1;0;3
1969;PhD;Married;33581;2;0;08.01.2021;38;0;11;0;5;0;0;1;1;0;2
1985;Graduation;Married;19986;1;0;14.11.2021;74;0;3;6;5;0;2;6;0;0;3
1954;Graduation;Widow;27421;0;0;12.12.2020;14;0;43;12;96;78;40;55;4;1;6
1973;2n Cycle;Married;35688;2;1;22.08.2020;94;0;73;3;90;12;1;32;4;1;4
1981;Master;Single;36143;1;0;30.03.2022;33;0;12;0;1;0;0;6;0;1;2
1971;Graduation;Single;10245;1;0;15.05.2021;32;0;4;7;7;6;4;13;1;2;2
1968;Master;Together;43795;0;1;16.10.2021;11;0;314;11;53;4;3;107;7;3;4
1960;Graduation;Together;63381;0;1;05.10.2020;78;0;571;50;142;33;50;159;4;5;13
1949;Graduation;Together;38823;0;1;30.08.2020;56;0;70;0;11;2;8;23;2;1;3
1968;PhD;Divorced;83664;1;1;08.05.2021;57;0;866;21;151;28;21;86;2;2;12
1979;Graduation;Together;90300;0;0;03.01.2022;7;0;594;134;786;33;134;57;5;6;8
1979;Master;Together;62499;1;0;09.12.2021;0;0;140;4;61;0;13;4;3;1;6
1993;Graduation;Single;74293;0;0;04.05.2022;66;0;375;152;335;93;91;81;5;4;6
1946;PhD;Married;51012;0;0;18.04.2021;86;0;102;9;63;2;9;24;4;1;4
1968;Master;Married;70777;0;1;25.02.2022;80;0;554;35;113;0;7;78;5;3;12
1991;PhD;Together;68682;0;0;06.10.2021;56;0;919;0;505;99;30;45;4;9;10
1971;Graduation;Married;43824;1;1;15.09.2020;18;0;96;1;42;12;3;32;3;1;4
1984;Graduation;Together;15345;1;0;31.08.2020;51;0;5;2;16;3;2;19;1;1;2
1987;Graduation;Single;23442;1;0;24.12.2020;71;0;2;0;6;8;6;5;1;0;3
1980;2n Cycle;Together;14515;1;0;09.11.2020;71;0;6;4;9;6;36;35;2;2;3
1956;2n Cycle;Divorced;31395;1;1;23.03.2021;80;0;23;1;25;0;8;7;2;1;3
1965;Graduation;Together;75276;0;0;27.09.2020;2;0;610;105;125;137;42;21;9;4;9
1974;Graduation;Single;42373;1;1;15.08.2021;83;0;67;5;61;3;8;19;2;1;5
1960;Graduation;Together;30507;0;0;11.03.2021;29;0;65;36;74;38;20;110;5;1;4
1955;PhD;Single;55521;1;2;22.10.2021;11;0;416;0;26;0;0;4;6;3;6
1965;Graduation;Married;48006;1;1;09.06.2022;55;0;23;0;11;3;2;2;1;0;3
1972;PhD;Single;27213;1;0;30.08.2020;19;0;19;3;26;10;9;3;2;0;4
1971;PhD;Divorced;65808;1;1;30.05.2022;1;0;155;7;80;13;7;10;5;1;5
1974;PhD;Together;30351;1;0;06.06.2021;19;0;14;0;24;3;3;2;3;0;2
1963;Graduation;Married;50437;0;2;17.10.2020;28;0;370;9;92;6;9;4;7;1;8
1982;2n Cycle;Single;23616;1;0;17.11.2020;76;0;4;22;11;3;7;32;3;0;3
1976;Graduation;Married;53858;0;1;09.11.2020;50;0;407;53;221;58;150;26;4;3;6
1955;PhD;Married;66465;0;1;30.03.2021;1;0;1200;0;204;38;29;14;11;9;12
1987;Graduation;Single;46923;1;0;22.08.2020;90;0;85;44;54;102;78;6;5;1;7
1962;Graduation;Together;75072;0;1;23.01.2021;83;0;583;34;309;0;22;125;5;4;8
1943;PhD;Married;75865;0;0;31.03.2022;73;0;483;0;591;156;0;12;3;5;10
1975;2n Cycle;Together;19789;1;0;20.11.2021;24;0;2;5;9;28;6;28;2;1;3
1994;Graduation;Together;80134;0;0;14.02.2022;11;0;966;26;282;52;26;26;2;7;11
1981;Graduation;Single;91065;0;0;22.02.2021;33;0;822;114;108;179;137;114;7;9;9
1971;Master;Married;49505;1;1;05.03.2021;4;0;604;0;100;19;0;28;10;2;8
1973;PhD;Married;37401;1;0;06.05.2022;14;0;19;3;19;3;1;3;2;0;3
1983;Graduation;Married;30096;1;0;22.05.2022;30;0;5;3;11;12;5;9;2;0;3
1982;Master;Together;18492;1;0;05.06.2022;75;0;2;2;2;2;1;1;1;0;2
1974;Master;Married;82584;0;0;04.06.2021;26;0;1076;68;103;29;91;68;3;4;8
1941;PhD;Married;93027;0;0;13.04.2021;77;0;1285;42;716;55;0;21;7;10;5
1953;Graduation;Married;48686;1;2;04.12.2021;8;0;10;0;7;2;0;1;1;0;2
1986;Graduation;Married;92910;0;0;24.04.2022;42;0;551;137;792;179;103;33;6;7;13
1989;Graduation;Married;75433;1;0;05.04.2022;28;0;800;0;297;0;34;57;2;5;10
1989;2n Cycle;Together;10404;1;0;04.05.2022;52;0;2;2;11;10;6;12;1;0;4
1968;Graduation;Married;61314;0;1;25.04.2021;1;0;378;0;189;97;172;172;5;5;12
1961;PhD;Single;84865;0;0;09.05.2021;1;0;1248;16;349;43;16;16;2;4;9
1989;Graduation;Married;42387;1;0;29.10.2020;42;0;235;0;235;19;4;191;8;1;7
1967;2n Cycle;Together;67309;1;1;23.01.2021;76;0;515;47;181;149;95;95;9;6;9
1964;Graduation;Married;75236;0;1;25.11.2021;27;0;438;66;400;12;38;114;8;3;13
1970;Graduation;Single;30015;1;0;02.02.2022;28;0;25;0;22;2;3;5;1;0;4
1956;Master;Together;50943;0;1;21.06.2021;49;0;31;0;7;2;0;6;1;0;3
1966;Graduation;Divorced;67272;0;1;21.12.2021;12;0;357;35;271;28;28;14;6;2;12
1949;Master;Widow;51529;0;1;07.09.2021;14;0;400;4;35;6;0;22;9;1;5
1971;PhD;Married;32011;1;0;22.08.2021;89;0;99;0;15;2;1;5;2;1;4
1986;2n Cycle;Married;7500;1;0;07.02.2021;96;0;1;11;5;4;6;9;2;0;3
1989;Graduation;Married;28691;1;0;04.07.2021;56;0;5;4;13;8;0;4;1;0;3
1948;PhD;Married;56223;0;1;20.12.2021;72;0;77;28;31;16;0;4;2;1;5
1946;Graduation;Married;18100;0;0;06.08.2021;14;0;3;1;2;4;3;1;0;0;3
1989;Graduation;Single;30279;1;0;30.12.2020;13;0;10;4;14;4;4;1;1;0;3
1974;2n Cycle;Married;20130;0;0;17.03.2022;99;0;0;6;3;7;6;12;1;0;3
1959;Graduation;Divorced;23295;0;0;13.07.2021;72;0;0;0;1;2;12;5;1;0;2
1972;Master;Divorced;42618;1;0;09.10.2021;92;0;76;14;74;13;5;10;5;0;4
1964;Graduation;Single;81246;0;0;29.12.2021;87;0;398;190;537;61;156;37;4;5;7
1976;Graduation;Married;24027;1;0;09.06.2021;7;0;14;7;11;11;0;5;2;0;3
1953;PhD;Married;55707;0;1;22.12.2021;91;0;208;7;82;30;66;35;3;2;9
1955;Graduation;Single;57959;0;1;02.05.2021;71;0;430;16;322;43;24;33;4;7;11
1969;Graduation;Married;56796;0;1;16.02.2021;24;0;656;38;161;62;47;37;8;9;7
1971;Master;Single;36230;1;0;17.10.2021;17;0;14;2;30;8;2;3;2;0;4
1980;2n Cycle;Married;70829;1;1;01.12.2021;87;0;141;70;106;72;19;23;4;2;8
1976;Graduation;Married;65991;0;1;07.09.2020;21;0;507;19;364;25;47;9;9;5;10
1972;Graduation;Married;38988;1;2;20.08.2020;90;0;164;24;103;12;3;42;5;1;6
1966;2n Cycle;Single;89572;0;0;15.09.2020;44;0;606;24;974;197;194;64;7;7;9
1984;Master;Married;42207;1;0;01.04.2021;71;0;116;11;72;3;17;46;4;1;5
1952;Graduation;Married;50300;0;1;25.05.2022;52;0;143;15;60;24;23;5;2;1;8
1982;2n Cycle;Together;66664;0;0;25.09.2020;78;0;398;96;447;220;96;32;5;7;6
1964;Graduation;Married;60597;0;1;01.01.2022;2;0;522;0;257;32;16;66;2;2;8
1949;Graduation;Widow;70165;0;0;22.09.2021;60;0;161;0;253;199;191;122;3;7;11
1958;PhD;Widow;50520;0;1;28.01.2022;25;0;112;0;6;2;1;14;3;1;3
1963;Graduation;Married;80124;0;0;26.06.2022;47;0;483;84;398;205;84;241;3;7;8
1975;Graduation;Married;33183;1;0;24.02.2022;46;0;7;5;39;17;15;37;4;0;3
1969;PhD;Single;66582;0;0;03.03.2022;83;0;789;25;420;16;38;0;2;8;9
1955;PhD;Together;75261;0;0;23.04.2021;17;0;1239;17;413;23;34;17;5;6;5
1970;Graduation;Widow;31880;1;0;31.10.2020;13;0;4;1;5;2;0;3;1;0;2
1951;Graduation;Married;53790;0;2;06.03.2022;86;0;335;42;127;28;5;5;7;2;8
1971;PhD;Together;49269;1;0;15.08.2020;92;0;639;8;166;11;8;58;7;3;12
1975;Graduation;Married;61456;0;1;27.03.2021;47;0;563;76;384;84;192;89;6;10;13
1980;Graduation;Married;37406;1;0;10.10.2021;18;0;2;0;8;2;2;3;1;0;2
1981;PhD;Together;56937;1;0;04.08.2020;81;0;746;8;125;11;8;8;8;6;9
1978;Graduation;Married;38415;1;1;02.01.2021;91;0;22;1;13;4;0;4;1;0;3
1988;Graduation;Single;20518;1;0;18.05.2022;58;0;4;1;6;4;1;9;1;1;2
1956;Graduation;Married;62503;0;1;18.02.2021;40;0;478;0;193;110;75;117;8;3;11
1972;PhD;Single;41644;1;1;09.05.2022;67;0;20;3;4;2;0;2;1;0;3
1977;Master;Married;55842;0;1;23.05.2022;19;0;451;0;39;0;4;24;7;1;8
1972;PhD;Married;62010;0;1;23.10.2020;93;0;371;22;39;6;0;92;6;2;7
1977;Graduation;Married;41124;1;0;31.10.2020;41;0;281;7;84;15;0;119;7;3;4
1973;Master;Married;38961;1;0;30.12.2021;60;0;19;7;19;0;1;24;2;1;2
1972;Master;Divorced;37760;1;0;11.08.2021;54;0;26;3;13;2;10;0;2;0;3
1974;Graduation;Single;32233;1;0;19.08.2020;26;0;138;15;35;25;11;72;6;2;2
1975;Graduation;Married;43057;0;1;30.10.2021;30;0;213;2;44;0;2;5;4;2;5
1960;Master;Together;83151;0;0;10.10.2020;93;0;407;28;100;120;74;18;5;9;4
1964;PhD;Divorced;78825;0;0;14.09.2020;35;0;483;74;114;169;37;18;5;10;13
1976;Master;Together;65104;0;1;14.11.2021;4;0;738;0;232;13;20;50;3;5;7
1974;Graduation;Married;60093;0;1;26.06.2021;92;0;502;12;109;16;6;90;7;2;10
1969;Graduation;Married;14045;1;0;26.01.2022;24;0;11;0;5;2;1;1;1;0;3
1952;2n Cycle;Widow;28457;0;0;28.10.2020;96;0;24;1;108;29;29;14;4;1;4
1958;PhD;Together;78952;0;1;24.09.2020;11;0;1170;19;594;99;76;134;2;5;12
1976;Graduation;Divorced;46310;1;0;03.12.2020;99;0;185;2;88;15;5;14;6;1;5
1955;Graduation;Together;76005;0;0;22.02.2021;72;0;983;20;389;240;50;40;3;5;13
1964;Master;Single;58308;0;1;12.01.2021;77;0;691;0;69;10;0;130;2;6;3
1944;PhD;Divorced;55614;0;0;27.11.2021;85;0;504;13;131;8;0;26;9;4;6
1962;Master;Divorced;59432;0;1;13.04.2021;88;0;317;25;265;25;19;12;5;3;11
1978;Graduation;Divorced;55563;0;1;05.04.2022;22;0;29;1;9;2;0;2;2;0;3
1971;PhD;Together;78642;0;1;21.04.2021;83;0;1396;0;322;46;35;17;4;9;4
1949;PhD;Together;67911;0;1;22.05.2022;63;0;529;0;356;63;28;0;6;7;11
1944;Graduation;Married;65275;0;0;03.04.2021;9;0;388;14;218;91;14;21;4;3;13
1950;Graduation;Together;27203;1;1;06.08.2020;92;0;13;2;21;4;0;24;1;1;2
1961;Master;Together;48330;0;1;15.11.2021;2;0;28;0;4;0;0;0;1;0;3
1990;Basic;Married;24279;0;0;29.12.2020;6;0;16;36;21;20;62;108;4;1;3
1985;PhD;Married;64355;1;0;24.08.2020;66;0;1047;0;140;67;38;153;4;3;12
1956;Master;Together;50943;0;1;21.06.2021;49;0;31;0;7;2;0;6;1;0;3
1953;Graduation;Widow;53653;0;0;07.11.2020;29;0;815;10;239;28;10;108;10;4;12
1976;Graduation;Married;65665;0;1;02.12.2021;77;0;225;162;387;106;36;29;5;10;8
1989;Graduation;Single;81217;0;0;19.07.2021;77;0;493;70;324;146;40;84;3;7;11
1992;Graduation;Married;34935;0;0;21.06.2021;71;0;34;4;66;3;10;20;2;1;4
1959;Graduation;Divorced;61250;0;1;16.12.2020;49;0;382;138;65;60;26;59;5;2;12
1981;PhD;Together;39665;1;0;25.05.2021;97;0;127;1;56;0;1;31;4;2;3
1979;Graduation;Single;60152;0;1;28.03.2021;6;0;325;83;300;86;58;91;6;4;12
1964;Graduation;Married;48920;0;2;20.10.2021;93;0;238;17;68;8;10;6;6;2;5
1959;Master;Together;89120;0;0;17.03.2022;78;0;1168;92;408;72;129;55;5;6;7
1946;PhD;Together;44124;0;1;11.05.2021;62;0;284;0;55;0;6;52;6;2;5
1975;Master;Single;81169;0;0;14.04.2021;47;0;1288;20;613;80;61;27;5;7;9
1961;Graduation;Married;36443;1;1;03.02.2021;9;0;65;0;46;4;3;20;3;1;3
1990;Graduation;Single;26095;1;0;30.06.2021;77;0;11;7;9;3;1;11;1;0;3
1959;Graduation;Together;71367;0;0;23.08.2021;24;0;227;23;389;42;21;75;4;5;7
1944;Master;Married;80184;0;0;01.03.2022;19;0;1035;134;670;25;38;0;6;3;10
1965;Graduation;Divorced;30630;1;1;27.01.2022;67;0;27;1;12;2;0;10;2;0;3
1987;Master;Single;73454;0;0;01.03.2022;95;0;982;73;351;56;14;175;2;4;6
1991;Graduation;Married;42691;0;0;16.08.2021;48;0;179;2;64;38;17;58;5;1;6
1953;Graduation;Married;70503;0;0;30.09.2020;73;0;1379;33;216;0;33;66;2;4;9
1987;Graduation;Married;25545;1;0;08.09.2020;35;0;32;1;64;16;12;85;2;2;3
1986;Graduation;Married;32880;1;0;04.12.2020;76;0;8;4;15;7;6;2;1;0;3
1958;PhD;Together;77863;0;0;27.11.2021;20;0;881;38;319;16;25;12;4;5;10
1977;Master;Married;50353;0;0;08.06.2022;72;0;141;15;153;67;31;35;4;4;6
1964;Graduation;Single;61839;0;0;12.08.2020;20;0;1000;155;379;224;17;120;4;8;4
1960;PhD;Married;49154;1;1;03.11.2021;69;0;206;10;67;30;27;71;4;1;8
1975;2n Cycle;Widow;47682;0;1;15.02.2021;80;0;162;61;83;97;57;61;4;3;8
1969;Graduation;Single;72679;0;1;18.09.2021;65;0;619;54;260;127;54;54;4;7;5
1977;Master;Together;57954;1;1;18.06.2022;52;0;456;4;24;0;0;9;8;2;6
1962;Graduation;Married;65316;1;1;24.04.2021;65;0;112;6;92;3;9;38;3;2;5
1982;Graduation;Single;28567;1;0;17.06.2021;57;0;11;3;22;2;2;6;2;0;3
1951;Master;Together;47352;0;1;11.04.2021;70;0;172;12;112;8;0;15;6;1;5
1967;Graduation;Together;44931;0;1;18.01.2022;0;0;78;0;11;0;0;7;2;1;3
1967;Graduation;Divorced;76982;0;0;15.02.2022;19;0;464;151;292;65;60;30;8;3;4
1952;2n Cycle;Together;57247;0;1;08.08.2021;50;0;99;4;32;37;54;6;2;1;7
1981;Master;Single;22944;1;0;23.12.2021;67;0;19;3;19;4;5;26;3;0;3
1977;2n Cycle;Together;25315;1;0;07.11.2021;46;0;1;9;8;11;3;22;3;0;3
1969;Graduation;Widow;43638;0;1;06.08.2020;37;0;63;10;83;7;19;19;4;1;4
1984;PhD;Single;42710;1;0;28.11.2020;38;0;252;3;42;4;3;102;4;5;3
1982;PhD;Married;84169;0;0;07.08.2021;9;0;1478;19;403;0;19;0;7;6;6
1976;Graduation;Together;54058;0;1;04.06.2021;56;0;198;18;252;32;108;54;4;6;8
1990;2n Cycle;Married;24683;1;0;08.03.2022;98;0;8;4;10;6;7;6;2;0;4
1964;Graduation;Widow;85620;0;0;07.01.2022;68;0;416;46;925;60;107;46;3;6;4
1980;Graduation;Married;47850;1;0;03.12.2021;72;0;42;7;43;20;12;10;3;0;4
1968;Graduation;Married;19514;1;1;26.01.2022;47;0;14;3;21;2;1;28;3;1;2
1973;Master;Married;27159;1;1;29.03.2022;33;0;17;0;3;0;0;1;1;0;3
1963;2n Cycle;Single;39548;1;1;31.03.2022;87;0;15;4;10;3;4;18;1;1;3
1989;Graduation;Single;21474;1;0;08.04.2022;0;0;6;16;24;11;0;34;3;1;2
1971;PhD;Single;60504;0;1;07.02.2022;73;0;458;0;24;6;4;34;6;2;8
1963;Graduation;Married;22419;0;0;18.04.2021;74;0;30;3;47;19;21;42;3;2;2
1949;Master;Married;81698;0;0;06.11.2021;4;0;179;28;520;111;123;47;3;8;13
1952;Graduation;Together;43462;1;1;12.09.2020;50;0;90;17;97;15;6;15;4;1;5
1978;PhD;Single;54880;1;0;01.03.2021;57;0;308;85;137;102;45;118;6;2;11
1982;Graduation;Married;79908;0;0;05.04.2021;30;0;557;129;761;29;185;111;5;6;7
1970;2n Cycle;Married;15315;0;0;03.08.2021;27;0;7;4;13;15;8;17;2;0;4
1959;Graduation;Together;87771;0;1;22.05.2021;61;0;1492;38;287;50;57;33;5;10;4
1978;Graduation;Married;33039;1;0;09.09.2021;4;0;30;8;12;8;8;12;2;0;4
1980;Graduation;Single;81741;0;0;16.06.2021;75;0;249;153;940;58;134;38;6;6;7
1971;Master;Together;71499;0;1;25.06.2021;12;0;465;25;132;136;0;37;8;3;13
1970;2n Cycle;Married;62466;0;1;15.01.2022;13;0;129;129;259;168;121;83;6;3;12
1963;PhD;Divorced;48799;0;1;05.11.2021;9;0;174;18;81;28;6;24;3;2;7
1950;PhD;Together;52157;0;1;07.06.2022;48;0;189;2;29;3;2;40;3;2;5
1962;Graduation;Single;66565;0;1;05.12.2020;80;0;747;10;161;65;40;42;4;2;9
1951;Master;Together;29298;1;1;07.09.2021;60;0;6;0;2;2;0;1;1;0;2
1979;Graduation;Single;47691;0;1;05.07.2021;43;0;14;0;3;0;0;4;1;0;2
1970;Graduation;Together;38200;1;1;07.12.2020;19;0;12;0;4;0;0;1;1;0;2
1974;Graduation;Married;44989;0;1;12.09.2020;26;0;98;0;106;49;10;106;5;1;5
1968;PhD;Married;38443;1;1;27.01.2022;58;0;32;0;5;0;0;1;1;0;3
1978;2n Cycle;Single;38593;1;0;13.09.2021;42;0;51;12;49;17;24;24;4;1;3
1970;PhD;Together;64413;0;1;01.08.2021;27;0;200;5;44;0;10;20;5;1;5
1981;Master;Married;36959;1;0;02.10.2021;56;0;25;6;25;6;0;0;2;0;3
1977;PhD;Married;61996;0;1;31.01.2021;27;0;1050;12;144;0;0;24;6;4;8
1968;Graduation;Married;51287;1;1;01.04.2022;10;0;117;0;22;13;0;30;4;1;3
1970;Graduation;Married;13260;1;1;23.08.2021;48;0;9;4;17;10;2;7;3;0;3
1966;PhD;Together;47472;1;1;16.09.2021;39;0;56;0;11;0;0;8;2;0;4
1956;Master;Together;54603;1;1;09.07.2021;85;0;145;13;46;17;2;4;4;2;4
1974;PhD;Married;45207;1;1;10.11.2020;64;0;203;0;10;0;0;2;3;1;6
1951;Graduation;Together;40689;0;1;18.03.2021;69;0;270;3;27;39;6;99;7;1;5
1967;2n Cycle;Together;47821;1;1;20.10.2021;54;0;9;0;16;6;6;10;1;0;3
1951;Master;Married;27450;0;0;15.04.2021;57;0;37;12;23;8;11;52;2;1;3
1983;Graduation;Together;39453;1;0;03.04.2022;64;0;46;0;7;0;0;2;2;0;3
1971;2n Cycle;Together;26850;1;1;18.04.2022;10;0;31;1;13;7;2;9;2;1;4
1955;Graduation;Widow;79800;0;0;23.09.2020;65;0;1060;21;530;32;0;224;5;11;5
1961;Master;Married;61794;0;1;14.09.2021;74;0;264;47;188;54;47;11;4;4;10
